sp #,Species,Rep,dry mass,Notes,,,,,,,,,,,,,
32,Gilia tricolor,A,4.112,,,,,,,,,,,,,,
32,Gilia tricolor,B,3.926,,,,,,,,,,,,,,
32,Gilia tricolor,C,4.184,,,,,,,,,,,,,,
32,Gilia tricolor,D,3.806,,,,,,,,,,,,,,
32,Gilia tricolor,E,3.509,,,,,,,,,,,,,,
33,Hemizonia congesta,A,12.494,,,,,,,,,,,,,,
33,Hemizonia congesta,B,9.994,,,,,,,,,,,,,,
33,Hemizonia congesta,C,7.941,,,,,,,,,,,,,,
33,Hemizonia congesta,D,12.752,,,,,,,,,,,,,,
33,Hemizonia congesta,E,12.04,,,,,,,,,,,,,,
34,Holocarpa virgata,A,18.118,,,,,,,,,,,,,,
34,Holocarpa virgata,B,16.795,,,,,,,,,,,,,,
34,Holocarpa virgata,C,17.538,,,,,,,,,,,,,,
34,Holocarpa virgata,D,23.099,,,,,,,,,,,,,,
34,Holocarpa virgata,E,18.043,,,,,,,,,,,,,,
35,Hypochaeris glabra,A,5.759,,,,,,,,,,,,,,
35,Hypochaeris glabra,B,5.022,,,,,,,,,,,,,,
35,Hypochaeris glabra,C,5.542,,,,,,,,,,,,,,
35,Hypochaeris glabra,D,4.775,,,,,,,,,,,,,,
35,Hypochaeris glabra,E,6.157,,,,,,,,,,,,,,
36,Lactuca serriola,A,6.512,,,,,,,,,,,,,,
36,Lactuca serriola,B,6.131,,,,,,,,,,,,,,
36,Lactuca serriola,C,6.227,,,,,,,,,,,,,,
36,Lactuca serriola,D,5.838,,,,,,,,,,,,,,
36,Lactuca serriola,E,5.819,,,,,,,,,,,,,,
37,Lagophylla minor,A,3.292,,,,,,,,,,,,,,
37,Lagophylla minor,B,3.28,,,,,,,,,,,,,,
37,Lagophylla minor,C,3.006,,,,,,,,,,,,,,
37,Lagophylla minor,D,2.998,,,,,,,,,,,,,,
37,Lagophylla minor,E,3.092,,,,,,,,,,,,,,
38,Lasthenia californica,A,2.068,,,,,,,,,,,,,,
38,Lasthenia californica,B,2.137,,,,,,,,,,,,,,
38,Lasthenia californica,C,2.002,,,,,,,,,,,,,,
38,Lasthenia californica,D,2.283,,,,,,,,,,,,,,
38,Lasthenia californica,E,1.275,,,,,,,,,,,,,,
39,Lepidium,A,10.748,,,,,,,,,,,,,,
39,Lepidium,B,10.417,,,,,,,,,,,,,,
39,Lepidium,C,9.488,,,,,,,,,,,,,,
39,Lepidium,D,10.095,,,,,,,,,,,,,,
39,Lepidium,E,10.285,,,,,,,,,,,,,,
40,Linanthus dichotomus,A,2.229,,,,,,,,,,,,,,
40,Linanthus dichotomus,B,2.496,,,,,,,,,,,,,,
40,Linanthus dichotomus,C,2.508,,,,,,,,,,,,,,
40,Linanthus dichotomus,D,2.31,,,,,,,,,,,,,,
