in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,notes
y,y,morph,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2019,,,,0.1646,,38.86556193,-122.402132,679,near kathy's house,,MCL-EE,MCL-EE-5,wild,,,only need 200
y,y,chem,,1,seed,seed,Anagallis arvensis,Lysimachia arvensis,ANAARV,ANAR,Primulaceae,forb,invasive,2021,,,,1.139,,NA,NA,NA,,,OUT,OUT-1,cultivated,,x,
y,y,both,,1,achene,achene,Ancistrocarphus filagineus,,ANCFIL,ANFI3,Asteraceae,forb,native,2019,,,,0.0614,,38.87251,-122.4273,663,,,MCL-EE,MCL-EE-6,wild,,,
y,y,both,,1,achene,achene,Anisocoma acaulis,,ANIACA,ANAC,Asteraceae,forb,native,2003,8,,,2.0816,193,34.32338,-117.27163,960,,21059,CBG,CBG-21059,wild,,,
y,y,both,y,1,mericarp,seed,Anoda pentaschista,,ANOPEN,ANPE4,Malvaceae,forb,native,2007,83,,5.282,0.5282,100,34.24222,-112.04806,1118,,W6 36754,GRIN,GRIN-W6-36754,wild,,,cannot order more
y,y,morph,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2006,30,,,0.24306204,1800,34.70846,-118.69405,1195,,22016,CBG,CBG-22016,wild,,,
y,y,chem,,1,seed,seed,Antirrhinum coulterianum,Sairocarpus coulterianus,ANTCOU,SACO13,Plantaginaceae,forb,native,2019,68,,,0.2508,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-4,wild,,,
y,y,both,,1,seed,seed,Antirrhinum multiflorum,Sairocarpus multiflorus,ANTMUL,SAMU2,Plantaginaceae,forb,native,2001,16.3,,,0.313104711,20900,34.09281,-118.60984,253,,22451,CBG,CBG-22451,wild,,,
y,y,both,,1,seed,seed,Argemone munita,,ARGMUN,ARMU,Papaveraceae,forb,native,2004,,,,0.308722664,101,33.29491,-115.38441,183,,21422,CBG,CBG-21422,wild,,,
y,y,both,y,1,floret,caryopsis,Aristida adscensionis,,ARIADS,ARAD,Poaceae,grass,native,2003,63.3,,,0.150966027,204,32.89794,-118.48631,183,,21102,CBG,CBG-21102,wild,,,
y,y,both,y,1,seed + papery covering,seed,Astragalus didymocarpus,,ASTDID,ASDI3,Fabaceae,forb,native,2020,,,,0.13,102,35.12182297,-119.7248455,,,,CP,CP-11,wild,,,93 disperules
y,y,both,y,1,seed + papery covering,seed,Astragalus didymocarpus var. dispermus,,ASTDIDD,ASDID,Fabaceae,forb,native,2003,20,,,0.57,600,33.78216,-116.93819,506,,21062,CBG,CBG-21062,wild,,,
y,y,both,y,1,seed + papery covering,seed,Astragalus gambelianus,,ASTGAM,ASGA,Fabaceae,forb,native,2021,,,,0.28,,38.87244585,-122.4271412,662,S ridge watering Exp NS,,MCL-ML,MCL-ML-17,wild,,,
