"","Line","habitat","watering","fertilization","WFtreatment","Plot","origin","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"128","3","Lush","none","fertilized","N","55","Non-Native",1.53640964406655,0.814866711181826,-0.757172684802969,0.410016431286297,23.8345933362151,1.67772834079041,0.985294117647059,-1.94511482397599,1.96078431372549,1.02611381030621,2.65010814226781,-3.37792455701204,0.282977890273635,1.37269176053176,0.602239950243006,-0.274543635803625,0.355073426835398,-1.05202155230465,0.813540211845266,-0.420432253062271,0.724081536798217,0.152970758862941,"N"
"129","3","Lush","none","fertilized","N","55",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"130","3","Lush","watered","fertilized","WN","56","Native",0.0418545765964091,0.00426692117384283,-0.0309098483862437,0.0150207976780678,0.582941310601792,0.0359716156441659,0.00328947368421053,-0.0950967849760352,0.03125,-0.0322371681716707,0.0924746909527854,-0.00999674235445538,0.0118749034249682,0.0199868760692609,-0.00131530805452552,0.0215391692028968,0.00370840159934424,-0.010243904492164,0.00453937551603604,-0.00476257876954681,-0.0187306357007411,-0.00463204499473126,"WN"
"131","3","Lush","watered","fertilized","WN","56","Non-Native",1.49213188513898,0.78046068890544,-0.736995978754204,0.40162706976944,23.3480406337862,1.64240299156112,0.965460526315789,-1.90467694457962,1.92763157894737,1.02846835822982,2.59592097909555,-3.31585266241788,0.254066212758697,1.36067792403584,0.596341531829901,-0.261090983836758,0.351125566213134,-1.04715759377822,0.787801174256216,-0.405826760402938,0.709223421908557,0.148913863402872,"WN"
"132","3","Lush","watered","fertilized","WN","56",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WN"
"133","4","Harsh","none","fertilized","N","59","Native",0.044744907660874,-0.0329916212698271,-0.00561903343726673,0.0183564230697789,0.697311178173401,0.0300563569854912,0,-0.101509950854812,0.0307692307692308,-0.0492861934815002,0.101788294073029,0.0154721602244182,-0.0233426758678219,0.0145738885825778,0.0161651578572226,0.0126234392346348,0.00563149691460938,0.00637770438757393,0.0165228151357572,-0.00397545860037916,-0.0167127964778456,-0.00743069890780161,"N"
"134","4","Harsh","none","fertilized","N","59","Non-Native",0.484236954213811,0.531571904743882,-0.709802335953854,0.388118166706201,20.7340276114867,2.33050452278208,0.961538461538462,-1.74093106409776,0.992307692307692,1.45970660019018,2.40140087145759,-3.58444136475705,-0.963987283789228,1.45539217142651,-0.284623696810551,-0.746148664131864,-0.0105641780745406,-1.57414849276788,-0.298905136831087,0.888292490146134,-0.641121192991762,-0.312452931392206,"N"
"135","4","Harsh","none","fertilized","N","59",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"136","4","Harsh","none","fertilized","N","66","Native",0.77943522948589,0.0335473918506715,0.879364642378561,0.214255395978101,7.2222277143376,0.412726263706683,0.0170454545454545,-1.25986496988392,0.215909090909091,-0.468688967683543,1.28274617457839,0.0481754907116031,-0.176711023183355,-0.26271403717226,0.791643300446232,-0.0453311960558236,-0.495736757140289,0.208613507424744,-0.339342071574439,-0.26849968074676,-0.0896301314887047,-0.00936093625589762,"N"
"137","4","Harsh","none","fertilized","N","66","Non-Native",0.297435900929008,0.266911855447261,-0.348016571458737,0.212301618312436,10.736794062426,1.26237761434384,0.522727272727273,-0.931916529225179,0.528409090909091,0.717210440058569,1.31505001122547,-1.87190309261003,-0.500542864272079,0.727011503887792,-0.173496725523605,-0.396098820454288,-0.103343260873431,-0.843813707502734,-0.153347851790427,0.408459148808777,-0.309048216450104,-0.184568645014111,"N"
"138","4","Harsh","none","fertilized","N","66",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"139","4","Harsh","none","none","C","57","Native",1.33272337807493,0.485425510610608,0.618835844867658,0.423661907167784,18.7338275196757,1.07981739812705,0.0405405405405405,-2.74636200358104,1.40540540540541,-0.645589419910739,2.61404494338867,-0.933014998317284,-0.0873162140705955,0.317262026061094,1.18248693312293,0.800925666343411,-0.121222010423847,0.353137587759508,-0.195392221192505,-0.0264460776768076,-0.0561607091065608,-0.0184616436826691,"C"
"140","4","Harsh","none","none","C","57","Non-Native",0.0209350451146347,0.0109362759214728,-0.0103169054303489,0.00562214812214812,0.326926674944296,0.0229541609576262,0.0135135135135135,-0.0266674338361882,0.027027027027027,0.014373816746508,0.0363441380528493,-0.04639785903764,0.003616570323085,0.0190403798819393,0.00839058191045284,-0.00363034846910268,0.00493257512298185,-0.0146306521264459,0.011080609887251,-0.00574450227126795,0.00999386352283984,0.0021072147168332,"C"
"141","4","Harsh","none","none","C","57",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
