"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"ELYELY","ELYELY","-2.70960188672319","0.207937366544262","0.654469349923819","0.235716278856385","-0.923023746326361","-0.684047382853335","-0.88601660111779","0.151059186112228","-0.589669079303955","0.161321313836724","0.0891036849469947"
"ERINUD","ERINUD","-0.865269566578975","0.153038736466342","0.787978790882367","-0.395154020549019","-1.68544149330574","-0.347517540532945","-0.430950315157693","-0.68429222392312","-0.281017626318182","-0.0336888708636022","0.154396093044183"
"FRIPUR","FRIPUR","-1.20420785567635","-0.0698339723562483","-0.203249065714988","-0.173845643602971","1.78813410835963","-1.64175736005251","1.52303795290011","0.695812494421227","0.803959012608015","-0.214819558962127","-0.389626812578765"
"GALAPA","GALAPA","0.754827000615288","-0.87265712387151","1.47759168039905","1.00328983660223","1.42822978709834","1.06115209880406","-0.210595965935418","0.100914254008116","-0.139166249880102","0.988840762351989","0.0531079537239198"
"GALMUR","GALMUR","0.423819767029917","-1.15550323578462","1.36971688572341","0.89996957845923","1.4843892741158","0.889537005331536","-0.320116765629697","-0.195535192858584","-0.292100298303956","0.854846077495271","0.0599722147989525"
"GILCAP","GILCAP","0.475729800485778","-0.023264540353209","-0.794156813196411","2.15725344474348","-0.788661352718866","-0.479097560060612","0.451600463341319","-0.300633772217659","-0.181515445987076","-0.293522305465917","0.0183041348133415"
"GILTRI","GILTRI","1.19255136489323","-1.09337419630606","0.883272312687844","1.89434288967924","-0.117430016512111","-0.764470901776775","-0.181422598288302","-1.37658149033638","0.402941638215947","-0.744596109488324","-0.0940318729292633"
"HOLVIR","HOLVIR","0.54241256621155","0.660235495451128","-2.87360158097663","-0.129609854149187","-0.915217045041742","0.406362344728529","-0.0687043196819775","0.705358256703629","-0.350060988306379","0.466634067299185","0.147386600850569"
"HYPGLA","HYPGLA","-0.68445472356527","-0.789253604720782","-1.16287353621796","-0.688739409619133","0.30269832129814","0.317494550092756","0.0297801831321068","0.651360964919369","-0.604828310361108","-0.168717342893219","-0.274621093265259"
"LACSER","LACSER","0.432337746841278","-1.61808135903796","-0.293194202625147","-0.178227879691663","1.54097937704194","-1.28723855795664","0.485722601012554","1.91141086681382","0.549471432901563","0.512214964372306","-0.124497387027286"
"LAGMIN","LAGMIN","1.18047893050022","-1.28995470689415","-0.65348092152654","-0.654437958705059","-0.10574946777738","-0.605348610030677","-0.298929034782264","0.0250580031126073","-0.0307140928745167","-0.744906388760182","-0.0486749525270064"
"LASCAL","LASCAL","-0.855600712081132","-2.9089589943611","-0.356127101943535","-1.37223568901622","1.39852670010975","0.470862790402739","0.695308048505875","-0.672274359166466","0.367413643310184","0.395022310805886","0.089471520195137"
"LINDIC","LINDIC","1.81396131446537","-0.902881710072665","0.0312515998158308","0.100931669035305","-0.512609295499911","0.539771517597449","0.0442732357188493","0.536647472935483","0.312059410243154","-0.470144917890935","0.0678572913774382"
"LOLMUL","LOLMUL","-3.43344156878536","0.26762620390829","1.40898811126351","0.62090306137351","-0.268645786713598","0.365010559100657","-1.082668257357","0.819965131656575","-0.425093168073828","0.739545900690148","0.155933889045657"
"LOMMAR","LOMMAR","-1.89391490164395","1.12913484253326","-1.3179957213243","0.865314928936912","1.55854269134145","-0.506219099768159","-0.67077321645898","-0.187660720262762","0.128828536955452","1.06079153664063","-0.621068834342044"
"LOTHUM","LOTHUM","0.44228748500502","1.8611625010003","0.00556373523539891","-0.68707116770968","0.320036275010766","0.27414789868098","-0.675922821064061","-0.562462934448334","-0.176291284238258","-0.977903503346225","0.0601712584987333"
"MEDPOL","MEDPOL","0.815094948521189","0.435033449057902","-0.748407442294045","-1.32817641318757","1.18579794340971","-1.07880990737574","0.207818483196001","0.881705099875292","0.478582501796692","-0.12534052132078","0.308433180411205"
"MICDOU","MICDOU","-1.62891225161163","-0.280088668810476","-2.11602818879594","0.312479673315018","-0.486830278080301","0.873127177504403","1.0259761524768","1.0066762544404","-0.374673347161668","0.0530637013910621","-0.0806221486151807"
"MIMDOU","MIMDOU","0.254724105680038","0.352998231353213","1.61133001187006","1.39384262026705","0.248803409258598","0.44299457023084","1.93408563337745","1.2818700289257","0.612091525871143","-1.16866330543809","1.05078110794605"
"MIMGUT","MIMGUT","3.97487079160757","-0.853926278320066","0.682090567813381","-0.664969824983437","-0.160544249885115","0.813754423718621","-0.163181689095298","0.534350975449184","-0.35423277644188","0.326813015740659","-0.267863614607837"
"NASPUL","NASPUL","-2.62863814909291","0.426309533491557","1.29850980998614","-1.26720123833496","0.791483997860052","-1.31014761477872","-1.11613727519222","0.421545114422355","-0.141495837516979","0.489233608519101","0.321283747178835"
"PETPRO","PETPRO","-1.5969528911211","-0.139477661095307","3.59867188467506","-1.09340648020791","0.399148412915699","0.918799971780071","1.79821221704578","-2.09012371770426","-0.97989211096703","0.590768539778185","0.174734230628418"
"PHLGRA","PHLGRA","-0.209945472755487","-0.304057453973476","0.535733174615288","0.948478145402502","-1.6823402569019","-2.33327106254903","0.36462665890501","-0.236016536408578","0.186706862846653","0.0979607812932774","0.287351144613668"
"PLAERE","PLAERE","0.495529597374922","0.295980429511545","-1.37949168845018","2.08571750711071","-0.741184576652317","-1.53903817702166","1.83957438521578","-0.72380832907064","-0.9741919543612","-0.203517451632981","-0.125451990699647"
"SISBEL","SISBEL","0.978345472253725","2.24464751682601","-0.733870049826568","0.845287419105721","-0.383640707909451","0.724399730383871","0.0602630242594286","-0.55394346221331","0.31308746602614","0.201786253383569","-0.115611446648268"
"TAECAP","TAECAP","-3.51592987623322","0.762616536959629","1.39967326052364","0.212119543349581","-1.1034148877985","0.267859996549486","-0.808562310490856","0.740460825127164","-0.338411069985308","-0.560004971881616","-0.129131615834451"
"THYCUR","THYCUR","-0.947540060604213","0.117769140930626","1.71329592717166","2.22887292061625","-0.42214391805169","1.87825685975535","1.10931315206541","1.56054540451882","0.0372716301426395","-1.14640455309779","-0.303100371646514"
"TRIALB","TRIALB","0.572718901734879","0.740481000285706","-0.349393113290442","-1.10949271086398","1.22845464294185","-0.639355937252599","-0.0945515197226563","0.29432876030969","-0.590091744961994","-0.168358446014498","0.347238713516971"
"TRIFUC","TRIFUC","-0.475174531898439","1.71862746687483","0.7090786256677","-0.378230879259448","1.25234770724055","0.75616105321112","-1.21535390231576","-0.262655339439657","0.611080439080092","-0.572082247518109","0.376736739410692"
"TRIGRA","TRIGRA","0.0760805123499076","0.881527580809329","0.570234133497771","-0.653130795205078","1.20716902297001","0.193486948671882","-0.351009258716632","-0.461916708035937","-0.7459414955659","-0.446015284903003","0.188772538245398"
"TRIWIL","TRIWIL","0.598772147081141","0.690030191175336","0.656943764951893","-0.117166195649692","1.47259971260697","-0.981867328740028","-0.0138874209105384","-0.897769911729963","0.182935324891507","-0.29333438647007","0.13849176084794"
"UROLIN","UROLIN","-3.77973203706407","-1.77462298687514","-2.87287136746566","-0.818352859496527","-0.748104146184067","2.40873001718985","0.925016354021686","-1.30686242750357","0.651054668468649","-0.237632072245387","0.197480929266192"
"VICVIL","VICVIL","0.00238195663236679","4.53926094159578","-1.38737717923496","-0.832591545894278","0.179102996237221","0.365513895375951","0.577637017317544","-0.706210765057011","0.276265016012376","-0.311960552525621","-0.0645018880605656"
"VIODOU","VIODOU","0.117664677011299","0.888225160783814","-1.75038493859521","0.285226173391601","-0.24075186138522","-0.119793025008268","-1.57247948648744","0.130461076530368","0.353560435695527","-0.200493310474919","0.351744838912144"
"VULMIC","VULMIC","-2.67849861342298","-2.35862663965009","-0.180934305179372","-2.47570513614204","-1.22150560673918","0.0517494343991778","1.46762670376981","-0.881808185263676","1.31384045920657","0.0714853827558683","-0.0216480625255445"
