"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"DICCAP","DICCAP","0.307649979901449","0.213970372772951","0.232734329296159","-1.61375971589584","-1.23360772153708","-1.50804776541726","0.225649008061997","0.474221893303227","0.0734832102830125","0.188441639228501","0.0149365331502925"
"ERINUD","ERINUD","-0.87458166355851","0.166492508008736","0.840208563690866","-0.551275839700571","-1.64213558697346","-0.331527637479647","0.587262027592514","-0.657537445264642","-0.344956937398102","0.00501927163781292","-0.161369181475342"
"FRIPUR","FRIPUR","-1.26819263575416","-0.0323358256509417","-0.185740145039757","-0.0821304491005257","1.73709389650968","-1.78510808879918","-1.38974053754586","0.650887490251477","0.793945384390544","-0.30585103839136","0.391131068461019"
"GALAPA","GALAPA","0.716152263379612","-0.853635928835278","1.45250663286499","1.20439051591901","1.30479865428759","1.05202774409913","0.0578521365702034","0.104580798909697","0.0108776005353388","1.00285387416924","-0.0522693035302992"
"GALMUR","GALMUR","0.38020072895134","-1.13371315151414","1.35175765575042","1.10359705030939","1.37749972566304","0.900057598572153","0.190113003874322","-0.188720709493331","-0.162031721387547","0.889632494362138","-0.0599315365156987"
"GILCAP","GILCAP","0.448776965052858","-0.036264838284875","-0.817162314924482","2.022603579491","-0.995638359968006","-0.614016447469464","-0.370611604475205","-0.306290987149414","-0.23167006521938","-0.263624776923867","-0.0202606942203844"
"GILTRI","GILTRI","1.16630918173865","-1.08398722120258","0.84403382670496","1.8631731259587","-0.257886262762643","-0.804156445432844","0.324749580860076","-1.35279204596659","0.286396599281315","-0.789238119804122","0.0936632376299512"
"HOLVIR","HOLVIR","0.478878811950545","0.611641259356693","-2.85811837489222","-0.257897519500288","-0.922371935281472","0.407087842211917","8.20225595417265e-05","0.694240119808608","-0.29215152070827","0.512414818010702","-0.148731200201675"
"HYPGLA","HYPGLA","-0.758827995118127","-0.795606507009034","-1.13147765933892","-0.657984551167266","0.346917154599308","0.335119705098751","-0.110067357468478","0.639769478925006","-0.619202501233795","-0.0843624319242609","0.272938758116359"
"LACSER","LACSER","0.361833682027255","-1.61335708927692","-0.298592947453558","-0.105083879454535","1.54291318531229","-1.31675793215395","-0.469120840201929","1.88322522434548","0.619005710401859","0.453275004250605","0.125583282421142"
"LAGMIN","LAGMIN","1.11583030484774","-1.30814855252742","-0.652286820068522","-0.691253946969934","-0.00105450389620199","-0.534706717718334","0.341241486963397","0.029887606369929","-0.134904378255732","-0.734487405824177","0.0486204412129528"
"LASCAL","LASCAL","-0.975540638582062","-2.86974144791177","-0.277998148945014","-1.20625198076524","1.45830407348251","0.456581459139673","-0.746384958250174","-0.704172661242646","0.46725650181589","0.341706340879821","-0.0861789630022068"
"LINDIC","LINDIC","1.76329045000016","-0.920185054579874","0.0195088082743436","0.0670447649274879","-0.511532584036423","0.522411858540919","-0.106877300896389","0.536429114017473","0.254406074360092","-0.507898711712869","-0.0656891671649069"
