"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
5,"ATHPUS",0.7976623,3.412222,3.279278,2.570245,6.305701,8.375454,1.45768,33.47862,0.1733697,0.7755102,0.247172,0.7879741,0.994838,1.696139,1.567158,27.19965,1.867556,"ATHPUS_LW_Amy1","ATHPUS_LH_Amy1",0.112500573347027
6,"AVEFAT",1.683954,7.710735,7.75505,2.304358,13.76414,16.01972,1.328653,40.50728,0.2783622,0.794401,0.2045338,0.3052423,0.9975641,1.418008,1.403233,22.72406,9.485064,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.728268,7.887994,7.932308,2.304358,14.23938,16.50718,1.31889,36.31485,0.2312246,0.8032569,0.2059473,0.2929919,0.9966641,1.431007,1.354942,22.61538,10.17631,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.772583,8.508398,8.375454,2.260043,14.28651,17.70367,1.342209,39.74855,0.3551736,0.7617801,0.1937596,0.2628588,0.9962347,1.436785,1.411234,21.56776,10.64173,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.772583,7.932308,8.464083,2.437301,14.31204,16.39639,1.333915,38.35501,0.3773501,0.7582189,0.1960449,0.3068044,0.9957705,1.509954,1.403573,23.2942,10.82043,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.772583,8.375454,8.72997,2.348672,15.10344,17.39347,1.236961,33.4684,0.1643164,0.7867226,0.1874711,0.2800561,0.9948202,1.44122,1.327936,22.53696,11.06002,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.772583,8.33114,9.350374,2.481616,15.25269,17.28268,1.320852,35.65058,0.3790392,0.7551774,0.1822229,0.2984169,0.9979377,1.527027,1.496774,22.62658,11.08358,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.905527,8.641341,8.508398,2.304358,15.52369,18.14682,1.268952,35.06852,0.3551405,0.7989691,0.2053533,0.2673322,0.9930386,1.44821,1.321135,23.29667,11.39189,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.905527,8.72997,8.641341,2.481616,15.75345,18.01387,1.322535,37.53066,0.2127838,0.7441558,0.1980933,0.2746565,0.9985402,1.527541,1.518833,21.79786,11.54114,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
6,"AVEFAT",1.861212,8.552712,8.33114,2.437301,15.79666,17.6372,1.320124,36.24882,0.4543119,0.7758487,0.2052402,0.2932484,0.9987187,1.493992,1.488467,22.99339,11.55685,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
