"species_code","seed_mass","species","nseedssp","nfam","spdrymf","sd_spdrymf"
"Trifuc",0.00594,"Trifolium fucatum",76,5,0.00560434920634921,0.00152546874613663
"Trifuc",0.00713333333333333,"Trifolium fucatum",76,5,0.00560434920634921,0.00152546874613663
"Trifuc",0.00611666666666667,"Trifolium fucatum",76,5,0.00560434920634921,0.00152546874613663
"Sisbel",0.00318571428571429,"Sisyrinchium bellum",115,5,0.00306877022841657,0.000511784417041577
"Sisbel",0.00286341463414634,"Sisyrinchium bellum",115,5,0.00306877022841657,0.000511784417041577
"Sisbel",0.0027125,"Sisyrinchium bellum",115,5,0.00306877022841657,0.000511784417041577
"Sisbel",0.00267222222222222,"Sisyrinchium bellum",115,5,0.00306877022841657,0.000511784417041577
"Sisbel",0.00391,"Sisyrinchium bellum",115,5,0.00306877022841657,0.000511784417041577
"Triwil",0.00263333333333333,"Triwil",91,5,0.00222178354978355,0.000359304180865303
"Triwil",0.00168181818181818,"Triwil",91,5,0.00222178354978355,0.000359304180865303
"Triwil",0.00209090909090909,"Triwil",91,5,0.00222178354978355,0.000359304180865303
"Triwil",0.00230285714285714,"Triwil",91,5,0.00222178354978355,0.000359304180865303
"Triwil",0.0024,"Triwil",91,5,0.00222178354978355,0.000359304180865303
"Plaere",0.00176666666666667,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00117857142857143,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00204545454545455,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Plaere",0.00168333333333333,"Plantago erecta",133,10,0.001663996003996,0.000278906650459441
"Vulmyu",0.000492413793103448,"Vulpia myuros",420,5,0.000575359754907798,0.000147814123361154
"Vulmyu",0.000488636363636364,"Vulpia myuros",420,5,0.000575359754907798,0.000147814123361154
"Vulmyu",0.000528089887640449,"Vulpia myuros",420,5,0.000575359754907798,0.000147814123361154
"Vulmyu",0.0008375,"Vulpia myuros",420,5,0.000575359754907798,0.000147814123361154
"Vulmyu",0.00053015873015873,"Vulpia myuros",420,5,0.000575359754907798,0.000147814123361154
"Viodou",0.00635,"Viola douglasii",31,4,0.00500347222222222,0.00120383341537578
"Viodou",0.004,"Viola douglasii",31,4,0.00500347222222222,0.00120383341537578
"Viodou",0.00568888888888889,"Viola douglasii",31,4,0.00500347222222222,0.00120383341537578
"Viodou",0.003975,"Viola douglasii",31,4,0.00500347222222222,0.00120383341537578
"Vulmic",0.000933333333333333,"Vulpia microstachys",99,5,0.000852009022556391,0.000205135072739528
"Vulmic",0.000932,"Vulpia microstachys",99,5,0.000852009022556391,0.000205135072739528
"Vulmic",0.000489473684210526,"Vulpia microstachys",99,5,0.000852009022556391,0.000205135072739528
"Vulmic",0.000995238095238095,"Vulpia microstachys",99,5,0.000852009022556391,0.000205135072739528
