"IDnum","clean_code","H_1","H_2","L_1","L_2","LH_L_1","LH_L_2","W_1","W_2","area_LW_1","area_LW_2","Perimeter1_1","Perimeter1_2","Hue_1","Hue_2","PCof19WL_1","PCof19WL_2","texture_1","texture_2","Rectangularity1_1","Rectangularity1_2","LH_Circle_1","LH_Circle_2","LW_Circle_1","LW_Circle_2","Compactness Ellipse_1","Compactness Ellipse_2","BetaShape_a_1","BetaShape_a_2","BetaShape_b_1","BetaShape_b_2","Saturation_1","Saturation_2","LH_area_1","LH_area_2","shape_1","shape_2"
29,"GALAPA",0.62040399,0.0590860833333394,0.96162618,0.069441896595992,NA,NA,0.62040399,0.0590860833333394,0.44656384,0.0660860868579798,2.3220836,0.183250238565981,1.1346746,0.0725374809678111,12.6964889,2.47682247175172,0.63041581,0.379973921536885,0.84598626,0.0358507278145926,NA,NA,0.59399229,0.0366555948493072,0.97874891,0.0121858793602769,1.2974644,0.0935328063981356,1.2311269,0.0797667338381804,8.0516536,2.161783240654,NA,NA,0.0297728962292792,0
30,"GALMUR",0.68687586,0.112980439696487,1.09456976,0.0754648761689717,NA,NA,0.68687586,0.112980439696487,0.55771385,0.0732969521968494,2.685463,0.253666197161195,1.0278556,0.218893918248406,18.059156,2.98239191609017,0.78271515,0.430124479005832,0.83411066,0.0513902695227025,NA,NA,0.58804549,0.0901005244419618,0.96895456,0.0292354356609387,1.297646,0.110283387026333,1.2483746,0.11006599310333,5.3028625,1.98457729425041,NA,NA,0.0393961385388555,0
31,"GILCAP",1.03252944,0.116404813724664,2.1138051,0.165875782777656,2.0872163,0.154148600835579,1.3028482,0.112883923658873,2.0295679,0.312922136766552,4.8923287,0.367035913247086,0.84875835,0.0597730535737049,13.222789,1.52876937197102,0.40876464,0.582973713168933,0.78267735,0.0181510552262733,0.45487092,0.0764067046725002,0.60261667,0.0460400864145354,0.99166224,0.00562586741701027,1.5725959,0.0714116644914074,1.4162683,0.0788393154587932,26.433174,1.78244477658075,1.5441211,0.180482942124395,0.0500820471481005,0
32,"GILTRI",0.86413413,0.0916549136676268,1.3515943,0.253494002866625,NA,NA,0.86413413,0.0916549136676268,0.84580058,0.222500384496676,3.1950805,0.510184488466291,0.99976954,0.033107139429206,18.732731,1.92157727897018,0.604638149,0.516717646963013,0.78919758,0.0246849532555901,NA,NA,0.61181625,0.100071516956949,0.97869132,0.0132616954939823,1.5570616,0.160873553476152,1.4196565,0.154284367163905,22.16483,4.1133777428775,NA,NA,0.0333890051869702,0
34,"HOLVIR",1.5731674,0.0962985389391875,3.4919882,0.253106539099776,3.3944962,0.322411921842505,1.6041876,0.138254006563764,3.7710491,0.382799276817049,7.9389553,0.781917984431452,1.2240179,0.0984424786466696,8.0783162,1.63493797866319,0.27247647,0.116921858133751,0.72514003,0.0462575339197855,0.42076678,0.0342764026679775,0.40112329,0.0277275625123951,0.95431434,0.0148750211184313,1.6301798,0.168879536789985,1.2803137,0.065809734524866,6.8223093,3.88540928885068,3.6274966,0.34105392204694,0.0688461455485735,0
35,"HYPGLA",0.62483544,0.0737097445374792,4.6796187,0.958033404084296,NA,NA,0.62483544,0.0737097445374792,1.7332332,0.324657597810986,9.5608684,1.79570468207747,0.432507656,0.241732538308102,NA,NA,NA,NA,NA,NA,NA,NA,0.118264872,0.0218313548116428,0.93415558,0.0203321958569162,3.0059837,1.50170212202095,2.2361567,0.947833915481804,9.3399734,2.36579697324358,NA,NA,0.171446886743429,0
36,"LACSER",0.65363992,0.107471539510718,3.5695386,0.340985774317932,3.6493049,0.566459742733102,1.11894288,0.0973806499825548,2.6395183,0.428926127254922,7.3041491,0.70340863289645,1.2990363,0.0366117240110755,20.6608395,1.95754284361389,0.09680149,0.045220088755115,0.695229945,0.02929474751107,0.14413566,0.0277347211264414,0.318618695,0.0223009629853316,0.978867195,0.0103857140158704,1.93414205,0.241851254994399,1.73578525,0.270464221321489,19.176518,1.85817630167918,1.312885935,0.278959207096928,0.130772320732899,0
37,"LAGMIN",0.63812982,0.0984275821006581,2.4151443,0.30861529569138,2.3974183,0.246688665176732,0.90844863,0.188300652201998,1.4934557,0.55431706938379,5.182589,0.706910549317553,1.11663817,0.092981436342483,11.8666457,3.37801601941501,0.211077346,0.109478231042266,0.70923461,0.0412915490631208,0.20959937,0.0352000948349117,0.32945417,0.0624861790213742,0.94448337,0.0319266525604497,1.9275367,0.258817016322365,1.3538252,0.272742763131123,13.077743,4.14530478084147,0.93613437,0.152080047288555,0.109595477196117,0
38,"LASCAL",0.684413922222222,0.177412082337385,3.37775511111111,0.345239891870654,NA,NA,0.684413922222222,0.177412082337385,1.09404424444444,0.145798105232845,7.33898522222222,0.853686655555008,-0.994861577777778,0.100385151120905,NA,NA,NA,NA,NA,NA,NA,NA,0.113384061111111,0.0268503178167552,0.8194345,0.110935133643641,1.43336322222222,0.153483272076941,1.02350906666667,0.132823358708032,19.2843311111111,1.40645919891446,NA,NA,0.148224287906511,0
39,"LEPNIT",0.77993644,0.0699115797110925,2.0163131,0.0522252569430411,2.0207447,0.0787198864540876,1.2053563,0.0583430203519572,1.8294586,0.123293753060819,4.7261489,0.140543202032092,1.01682315,0.0802428239944406,20.332375,3.30985336218741,0.63310104,0.337481650279666,0.8004082,0.0153181483960112,0.36916409,0.0261102703308892,0.56348669,0.0294160144524656,0.98770284,0.00437061949262726,1.4927504,0.0689723854132942,1.3150711,0.0454419246571318,36.71833,2.69807803204429,1.1890695,0.119244822366284,0.0675770111232029,0
