"IDnum","Species","Rep","dry.mass","number_seeds","wet_mass","Notes","repdryperseed","repwetperseed","rep_pctch","fulldata"
16,"Chlorogalum pomeridianum","D",104.87,10,135.362,NA,10.487,13.5362,1.29075998855726,1
16,"Chlorogalum pomeridianum","E",110.518,11,136.048,NA,10.0470909090909,12.368,1.23100309451854,1
17,"Clarkia gracilis","A",4.013,10,5.995,NA,0.4013,0.5995,1.49389484176427,1
17,"Clarkia gracilis","B",4.17,10,6.224,NA,0.417,0.6224,1.49256594724221,1
17,"Clarkia gracilis","C",4.015,10,35.016,NA,0.4015,3.5016,8.72129514321295,1
17,"Clarkia gracilis","D",3.935,10,5.89,"1 germ",0.3935,0.589,1.49682337992376,1
17,"Clarkia gracilis","E",4.287,10,6.258,NA,0.4287,0.6258,1.45976207137859,1
18,"Clarkia purpurea","A",4.36,10,6.146,NA,0.436,0.6146,1.40963302752294,1
18,"Clarkia purpurea","B",3.985,10,5.419,NA,0.3985,0.5419,1.35984943538269,1
18,"Clarkia purpurea","C",3.596,10,4.39,NA,0.3596,0.439,1.22080088987764,1
18,"Clarkia purpurea","D",3.626,10,5.113,NA,0.3626,0.5113,1.41009376723662,1
18,"Clarkia purpurea","E",3.656,10,5.199,NA,0.3656,0.5199,1.42204595185996,1
19,"Colinsia sparsiflora","A",21.013,10,42.3,NA,2.1013,4.23,2.01303954694713,1
19,"Colinsia sparsiflora","B",18.724,9,37.482,NA,2.08044444444444,4.16466666666667,2.00181585131382,1
19,"Colinsia sparsiflora","C",18.59,10,64.392,NA,1.859,6.4392,3.46379774072082,1
19,"Colinsia sparsiflora","D",22.041,10,40.717,NA,2.2041,4.0717,1.8473299759539,1
19,"Colinsia sparsiflora","E",19.46,10,37.487,NA,1.946,3.7487,1.92636176772867,1
20,"Cryptantha hispidula","A",3.738,10,5.361,NA,0.3738,0.5361,1.43418940609952,1
20,"Cryptantha hispidula","B",3.75,10,5.466,NA,0.375,0.5466,1.4576,1
20,"Cryptantha hispidula","C",3.486,10,5.161,NA,0.3486,0.5161,1.48049340218015,1
20,"Cryptantha hispidula","D",3.566,10,5.118,NA,0.3566,0.5118,1.43522153673584,1
20,"Cryptantha hispidula","E",3.418,10,4.855,NA,0.3418,0.4855,1.42042129900527,1
21,"Dichelostemma capitatum","A",8.505,10,17.535,NA,0.8505,1.7535,2.06172839506173,1
21,"Dichelostemma capitatum","B",11.891,10,18.072,NA,1.1891,1.8072,1.51980489445799,1
21,"Dichelostemma capitatum","C",11.385,NA,NA,NA,NA,NA,NA,NA
21,"Dichelostemma capitatum","D",11.412,7,13.34,NA,1.63028571428571,1.90571428571429,1.1689449702068,1
21,"Dichelostemma capitatum","E",10.754,10,17.786,NA,1.0754,1.7786,1.65389622466059,1
22,"Elymus elymoides","A",28.775,10,51.505,NA,2.8775,5.1505,1.78992180712424,1
22,"Elymus elymoides","B",20.908,10,37.98,NA,2.0908,3.798,1.8165295580639,1
22,"Elymus elymoides","C",23.549,NA,NA,NA,NA,NA,NA,NA
22,"Elymus elymoides","D",19.994,NA,NA,NA,NA,NA,NA,NA
22,"Elymus elymoides","E",13.071,5,25.757,"5 seeds, and 5 separate seed coats or fruit coats present that do not have an embryo",2.6142,5.1514,1.97054548236554,1
23,"Epilobium brachycarpum","A",9.77,10,32.251,NA,0.977,3.2251,3.30102354145343,1
23,"Epilobium brachycarpum","B",9.634,10,35.625,NA,0.9634,3.5625,3.69784097986299,1
23,"Epilobium brachycarpum","C",8.962,NA,NA,NA,NA,NA,NA,NA
23,"Epilobium brachycarpum","D",8.226,10,27.781,NA,0.8226,2.7781,3.37721857524921,1
23,"Epilobium brachycarpum","E",10.517,10,27.577,NA,1.0517,2.7577,2.62213558999715,1
24,"Erigonum nudum","A",10.237,10,19.334,NA,1.0237,1.9334,1.88863924978021,1
24,"Erigonum nudum","B",11.416,10,18.597,NA,1.1416,1.8597,1.62902943237561,1
24,"Erigonum nudum","C",12.292,NA,NA,NA,NA,NA,NA,NA
24,"Erigonum nudum","D",9.68,10,14.876,NA,0.968,1.4876,1.53677685950413,1
24,"Erigonum nudum","E",8.495,10,15.77,NA,0.8495,1.577,1.85638610947616,1
25,"Eriophyllum lanatum","A",2.063,10,3.895,NA,0.2063,0.3895,1.88802714493456,1
25,"Eriophyllum lanatum","B",2.008,9,3.194,NA,0.223111111111111,0.354888888888889,1.5906374501992,1
25,"Eriophyllum lanatum","C",1.163,NA,NA,NA,NA,NA,NA,NA
25,"Eriophyllum lanatum","D",1.471,10,3.112,NA,0.1471,0.3112,2.1155676410605,1
25,"Eriophyllum lanatum","E",1.219,10,24.79,NA,0.1219,2.479,20.3363412633306,1
26,"Euphorbia crenulata","A",5.275,NA,NA,NA,NA,NA,NA,NA
26,"Euphorbia crenulata","B",3.588,5,6.761,NA,0.7176,1.3522,1.88433667781494,1
26,"Euphorbia crenulata","C",4.878,NA,NA,NA,NA,NA,NA,NA
26,"Euphorbia crenulata","D",4.318,NA,NA,NA,NA,NA,NA,NA
26,"Euphorbia crenulata","E",NA,NA,NA,NA,NA,NA,NA,NA
27,"Filago californica","A",NA,NA,NA,NA,NA,NA,NA,NA
27,"Filago californica","B",0.983,25,1.082,NA,0.03932,0.04328,1.10071210579858,1
27,"Filago californica","C",0.752,NA,NA,NA,NA,NA,NA,NA
27,"Filago californica","D",0.58,23,0.823,NA,0.0252173913043478,0.0357826086956522,1.41896551724138,1
27,"Filago californica","E",0.579,25,1.078,NA,0.02316,0.04312,1.86183074265976,1
28,"Fritillaria purdyi","A",47.815,10,129.575,NA,4.7815,12.9575,2.70992366412214,1
28,"Fritillaria purdyi","B",58.135,10,148.443,NA,5.8135,14.8443,2.5534187666638,1
28,"Fritillaria purdyi","C",53.995,NA,NA,NA,NA,NA,NA,NA
28,"Fritillaria purdyi","D",54.972,10,126.59,NA,5.4972,12.659,2.30280870261224,1
28,"Fritillaria purdyi","E",53.451,10,152.865,NA,5.3451,15.2865,2.85990907560195,1
29,"Galium aparine","A",3.961,25,7.146,NA,0.15844,0.28584,1.80408987629387,1
29,"Galium aparine","B",3.744,25,6.635,NA,0.14976,0.2654,1.7721688034188,1
29,"Galium aparine","C",3.801,NA,NA,NA,NA,NA,NA,NA
29,"Galium aparine","D",3.496,25,6.11,NA,0.13984,0.2444,1.74771167048055,1
29,"Galium aparine","E",3.835,25,7.062,NA,0.1534,0.28248,1.84146023468057,1
30,"Galium murale","A",3.808,25,7.374,NA,0.15232,0.29496,1.93644957983193,1
30,"Galium murale","B",3.665,25,7.321,NA,0.1466,0.29284,1.99754433833561,1
30,"Galium murale","C",3.321,NA,NA,NA,NA,NA,NA,NA
30,"Galium murale","D",3.69,25,6.845,NA,0.1476,0.2738,1.8550135501355,1
30,"Galium murale","E",3.388,25,6.582,NA,0.13552,0.26328,1.94273907910272,1
31,"Gilia capitata","A",14.765,10,98.894,"mucilage",1.4765,9.8894,6.69786657636302,1
31,"Gilia capitata","B",13.98,10,81.65,NA,1.398,8.165,5.84048640915594,1
31,"Gilia capitata","C",11.193,NA,NA,NA,NA,NA,NA,NA
31,"Gilia capitata","D",11.525,10,86.821,NA,1.1525,8.6821,7.53327548806941,1
31,"Gilia capitata","E",11.776,10,93.535,NA,1.1776,9.3535,7.94284986413043,1
32,"Gilia tricolor","A",4.112,10,16.493,"mucilage",0.4112,1.6493,4.01094357976654,1
32,"Gilia tricolor","B",3.926,10,36.121,NA,0.3926,3.6121,9.20045848191543,1
32,"Gilia tricolor","C",4.184,NA,NA,NA,NA,NA,NA,NA
32,"Gilia tricolor","D",3.806,10,30.448,NA,0.3806,3.0448,8,1
32,"Gilia tricolor","E",3.509,10,23.774,NA,0.3509,2.3774,6.77514961527501,1
33,"Hemizonia congesta","A",12.494,10,18.389,NA,1.2494,1.8389,1.47182647670882,1
33,"Hemizonia congesta","B",9.994,10,17.239,NA,0.9994,1.7239,1.72493496097659,1
33,"Hemizonia congesta","C",7.941,NA,NA,NA,NA,NA,NA,NA
33,"Hemizonia congesta","D",12.752,10,20.607,NA,1.2752,2.0607,1.61598180677541,1
33,"Hemizonia congesta","E",12.04,10,19.125,NA,1.204,1.9125,1.58845514950166,1
34,"Holocarpa virgata","A",18.118,10,30.968,"achene detaches",1.8118,3.0968,1.70923943040071,1
34,"Holocarpa virgata","B",16.795,10,27.628,NA,1.6795,2.7628,1.6450133968443,1
34,"Holocarpa virgata","C",17.538,NA,NA,NA,NA,NA,NA,NA
34,"Holocarpa virgata","D",23.099,10,35.13,NA,2.3099,3.513,1.52084505822763,1
34,"Holocarpa virgata","E",18.043,10,31.487,NA,1.8043,3.1487,1.74510890650114,1
35,"Hypochaeris glabra","A",5.759,10,8.751,NA,0.5759,0.8751,1.5195346414308,1
35,"Hypochaeris glabra","B",5.022,10,7.727,NA,0.5022,0.7727,1.53863002787734,1
35,"Hypochaeris glabra","C",5.542,NA,NA,NA,NA,NA,NA,NA
35,"Hypochaeris glabra","D",4.775,10,7.372,NA,0.4775,0.7372,1.54387434554974,1
35,"Hypochaeris glabra","E",6.157,10,8.655,NA,0.6157,0.8655,1.40571707000162,1
36,"Lactuca serriola","A",6.512,10,14.991,NA,0.6512,1.4991,2.30205773955774,1
36,"Lactuca serriola","B",6.131,10,12.612,NA,0.6131,1.2612,2.0570869352471,1
36,"Lactuca serriola","C",6.227,NA,NA,NA,NA,NA,NA,NA
36,"Lactuca serriola","D",5.838,10,13.226,NA,0.5838,1.3226,2.26550188420692,1
36,"Lactuca serriola","E",5.819,10,13.626,NA,0.5819,1.3626,2.34163945695137,1
37,"Lagophylla minor","A",3.292,9,5.305,NA,0.365777777777778,0.589444444444444,1.61148238153098,1
37,"Lagophylla minor","B",3.28,10,7.045,NA,0.328,0.7045,2.14786585365854,1
37,"Lagophylla minor","C",3.006,NA,NA,NA,NA,NA,NA,NA
37,"Lagophylla minor","D",2.998,9,5.419,NA,0.333111111111111,0.602111111111111,1.80753835890594,1
37,"Lagophylla minor","E",3.092,10,5.672,NA,0.3092,0.5672,1.83441138421733,1
38,"Lasthenia californica","A",2.068,10,3.755,NA,0.2068,0.3755,1.81576402321083,1
38,"Lasthenia californica","B",2.137,10,3.829,NA,0.2137,0.3829,1.79176415535798,1
38,"Lasthenia californica","C",2.002,NA,NA,NA,NA,NA,NA,NA
38,"Lasthenia californica","D",2.283,10,4.163,NA,0.2283,0.4163,1.82347787998248,1
38,"Lasthenia californica","E",1.275,10,3.361,NA,0.1275,0.3361,2.63607843137255,1
39,"Lepidium","A",10.748,10,201.772,"mucilage",1.0748,20.1772,18.7729810197246,1
39,"Lepidium","B",10.417,10,257.504,NA,1.0417,25.7504,24.7195929730249,1
39,"Lepidium","C",9.488,NA,NA,NA,NA,NA,NA,NA
39,"Lepidium","D",10.095,10,129.557,NA,1.0095,12.9557,12.8337790985636,1
39,"Lepidium","E",10.285,10,122.072,NA,1.0285,12.2072,11.8689353427321,1
40,"Linanthus dichotomus","A",2.229,10,3.59,NA,0.2229,0.359,1.61058770749215,1
40,"Linanthus dichotomus","B",2.496,10,4.259,NA,0.2496,0.4259,1.70633012820513,1
40,"Linanthus dichotomus","C",2.508,NA,NA,NA,NA,NA,NA,NA
40,"Linanthus dichotomus","D",2.31,10,3.822,NA,0.231,0.3822,1.65454545454545,1
40,"Linanthus dichotomus","E",2.282,10,3.841,NA,0.2282,0.3841,1.68317265556529,1
41,"Lolium multiflorum","A",21.119,10,32.541,NA,2.1119,3.2541,1.54084000189403,1
41,"Lolium multiflorum","B",25.166,10,36.326,NA,2.5166,3.6326,1.44345545577366,1
41,"Lolium multiflorum","C",23.625,NA,NA,NA,NA,NA,NA,NA
41,"Lolium multiflorum","D",21.552,10,30.803,NA,2.1552,3.0803,1.42924090571641,1
41,"Lolium multiflorum","E",22.015,10,32.058,NA,2.2015,3.2058,1.45618896207131,1
42,"Lomatium marginatum","A",42.366,10,110.904,NA,4.2366,11.0904,2.61775952414672,1
42,"Lomatium marginatum","B",69.802,10,157.111,NA,6.9802,15.7111,2.25080943239449,1
42,"Lomatium marginatum","C",75.259,NA,NA,NA,NA,NA,NA,NA
42,"Lomatium marginatum","D",64.086,10,136.196,NA,6.4086,13.6196,2.12520675342508,1
42,"Lomatium marginatum","E",69.472,10,140.765,NA,6.9472,14.0765,2.02621199907877,1
43,"Lotus humistratus","A",29.251,10,33.138,NA,2.9251,3.3138,1.13288434583433,1
43,"Lotus humistratus","B",31.739,10,36.188,NA,3.1739,3.6188,1.14017454866253,1
43,"Lotus humistratus","C",29.229,NA,NA,NA,NA,NA,NA,NA
43,"Lotus humistratus","D",30.869,10,31.601,NA,3.0869,3.1601,1.02371311024005,1
43,"Lotus humistratus","E",31.75,10,42.887,NA,3.175,4.2887,1.35077165354331,1
44,"Medicago polymorpha","A",35.078,10,50.001,NA,3.5078,5.0001,1.42542334226581,1
44,"Medicago polymorpha","B",26.753,10,31.781,NA,2.6753,3.1781,1.18794153926662,1
44,"Medicago polymorpha","C",31.92,NA,NA,NA,NA,NA,NA,NA
44,"Medicago polymorpha","D",33.768,10,46.414,NA,3.3768,4.6414,1.37449656479507,1
44,"Medicago polymorpha","E",34.132,10,42.776,NA,3.4132,4.2776,1.25325208015938,1
45,"Micropus californicus","A",6.647,10,13.278,NA,0.6647,1.3278,1.9975928990522,1
45,"Micropus californicus","B",7.826,10,14.444,NA,0.7826,1.4444,1.84564272936366,1
45,"Micropus californicus","C",8.655,NA,NA,NA,NA,NA,NA,NA
45,"Micropus californicus","D",8.335,10,16.397,NA,0.8335,1.6397,1.96724655068986,1
45,"Micropus californicus","E",6.999,10,12.96,NA,0.6999,1.296,1.85169309901415,1
46,"Microseris douglasii","A",18.037,10,38.298,NA,1.8037,3.8298,2.12330210123635,1
46,"Microseris douglasii","B",18.754,10,38.986,NA,1.8754,3.8986,2.07880985389783,1
46,"Microseris douglasii","C",17.277,NA,NA,NA,NA,NA,NA,NA
46,"Microseris douglasii","D",17.43,9,35.922,NA,1.93666666666667,3.99133333333333,2.06092943201377,1
46,"Microseris douglasii","E",16.626,10,34.525,NA,1.6626,3.4525,2.07656682304824,1
47,"Mimulus douglassi","A",14.659,NA,NA,NA,NA,NA,NA,NA
47,"Mimulus douglassi","B",18.903,5,37.437,NA,3.7806,7.4874,1.98047928900175,1
47,"Mimulus douglassi","C",14.948,NA,NA,NA,NA,NA,NA,NA
47,"Mimulus douglassi","D",16.498,5,35.304,NA,3.2996,7.0608,2.13989574493878,1
47,"Mimulus douglassi","E",NA,NA,NA,NA,NA,NA,NA,NA
48,"Mimulus guttatus","A",0.731,23,0.859,"24 seeds found dry 23 weighted",0.0317826086956522,0.0373478260869565,1.17510259917921,1
48,"Mimulus guttatus","B",0.642,24,0.869,NA,0.02675,0.0362083333333333,1.35358255451713,1
48,"Mimulus guttatus","C",0.813,NA,NA,NA,NA,NA,NA,NA
48,"Mimulus guttatus","D",0.78,25,1.005,NA,0.0312,0.0402,1.28846153846154,1
48,"Mimulus guttatus","E",0.543,25,0.747,NA,0.02172,0.02988,1.37569060773481,1
49,"Nassella pulchra","A",44.308,NA,NA,NA,NA,NA,NA,NA
49,"Nassella pulchra","B",23.042,5,29.278,NA,4.6084,5.8556,1.27063622949397,1
49,"Nassella pulchra","C",21.191,NA,NA,NA,NA,NA,NA,NA
49,"Nassella pulchra","D",24.927,5,30.822,NA,4.9854,6.1644,1.23649055241305,1
49,"Nassella pulchra","E",21.183,5,26.288,NA,4.2366,5.2576,1.24099513761035,1
50,"Navarretia jepsonii","A",6.93,10,14.812,NA,0.693,1.4812,2.13737373737374,1
50,"Navarretia jepsonii","B",7.211,10,14.673,NA,0.7211,1.4673,2.03480793232561,1
50,"Navarretia jepsonii","C",8.506,NA,NA,NA,NA,NA,NA,NA
50,"Navarretia jepsonii","D",7.44,10,15.227,NA,0.744,1.5227,2.04663978494624,1
50,"Navarretia jepsonii","E",5.228,10,12.638,NA,0.5228,1.2638,2.41736801836266,1
51,"Petrohagia prolifera","A",2.389,10,3.606,NA,0.2389,0.3606,1.5094181665969,1
51,"Petrohagia prolifera","B",2.536,10,3.736,NA,0.2536,0.3736,1.47318611987382,1
51,"Petrohagia prolifera","C",2.513,NA,NA,NA,NA,NA,NA,NA
51,"Petrohagia prolifera","D",2.538,10,3.79,NA,0.2538,0.379,1.49330181245075,1
51,"Petrohagia prolifera","E",2.27,11,3.295,NA,0.206363636363636,0.299545454545455,1.45154185022026,1
52,"Phlox gracilis","A",19.99,10,165.516,"mucilage",1.999,16.5516,8.27993996998499,1
52,"Phlox gracilis","B",21.569,10,162.482,NA,2.1569,16.2482,7.53312624600121,1
52,"Phlox gracilis","C",21.06,NA,NA,NA,NA,NA,NA,NA
52,"Phlox gracilis","D",20.952,10,124.31,NA,2.0952,12.431,5.93308514700267,1
52,"Phlox gracilis","E",21.03,10,151.746,NA,2.103,15.1746,7.21569186875892,1
53,"Plantago erecta","A",18.653,10,357.658,"mucilage",1.8653,35.7658,19.174288318233,1
53,"Plantago erecta","B",17.944,10,342.278,NA,1.7944,34.2278,19.074788230049,1
53,"Plantago erecta","C",18.02,NA,NA,NA,NA,NA,NA,NA
53,"Plantago erecta","D",19.207,10,278.713,NA,1.9207,27.8713,14.5110116103504,1
53,"Plantago erecta","E",16.364,10,281.062,NA,1.6364,28.1062,17.1756294304571,1
54,"Rigiopappus leptocladus","A",6.859,10,12.864,NA,0.6859,1.2864,1.87549205423531,1
54,"Rigiopappus leptocladus","B",8.119,10,13.783,NA,0.8119,1.3783,1.69762285995812,1
54,"Rigiopappus leptocladus","C",8.091,NA,NA,NA,NA,NA,NA,NA
54,"Rigiopappus leptocladus","D",7.564,10,12.199,NA,0.7564,1.2199,1.61277102062401,1
54,"Rigiopappus leptocladus","E",6.41,10,10.904,NA,0.641,1.0904,1.70109204368175,1
55,"Sidalcea diploscypha","A",52.433,10,345.371,"mucilage",5.2433,34.5371,6.5869013789026,1
55,"Sidalcea diploscypha","B",47.806,10,149.664,NA,4.7806,14.9664,3.13065305610174,1
55,"Sidalcea diploscypha","C",44.829,NA,NA,NA,NA,NA,NA,NA
55,"Sidalcea diploscypha","D",46.515,10,158.632,NA,4.6515,15.8632,3.4103407502956,1
55,"Sidalcea diploscypha","E",50.732,10,214.985,NA,5.0732,21.4985,4.23766064811165,1
56,"Silene gallica","A",6.307,24,7.905,NA,0.262791666666667,0.329375,1.2533692722372,1
56,"Silene gallica","B",6.314,25,8.229,NA,0.25256,0.32916,1.3032942667089,1
56,"Silene gallica","C",5.931,NA,NA,NA,NA,NA,NA,NA
56,"Silene gallica","D",6.951,25,10.16,NA,0.27804,0.4064,1.46166019277802,1
56,"Silene gallica","E",NA,NA,NA,NA,NA,NA,NA,NA
57,"Sisyrinchium bellum","A",33.241,10,54.937,NA,3.3241,5.4937,1.65268794560934,1
57,"Sisyrinchium bellum","B",32.113,10,48.53,NA,3.2113,4.853,1.51122598324666,1
57,"Sisyrinchium bellum","C",29.408,NA,NA,NA,NA,NA,NA,NA
57,"Sisyrinchium bellum","D",32.952,10,54.62,NA,3.2952,5.462,1.65756251517359,1
57,"Sisyrinchium bellum","E",34.325,10,54.709,NA,3.4325,5.4709,1.59385287691187,1
58,"Taeniatherum caput-medusae","A",34.103,10,49.285,NA,3.4103,4.9285,1.44518077588482,1
58,"Taeniatherum caput-medusae","B",38.387,10,49.053,NA,3.8387,4.9053,1.27785448198609,1
58,"Taeniatherum caput-medusae","C",33.439,NA,NA,NA,NA,NA,NA,NA
58,"Taeniatherum caput-medusae","D",34.259,10,44.914,NA,3.4259,4.4914,1.31101316442395,1
58,"Taeniatherum caput-medusae","E",32.124,10,40.6,NA,3.2124,4.06,1.26385257128627,1
59,"Thysanocarpus curvipes","A",6.305,10,11.106,"1 fruit coat separated",0.6305,1.1106,1.7614591593973,1
