"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","SCT","Mass","Carbon","N","CN","Length","W","area","Shape","Intensity","P","Texture","Fit_rect","Compact","germ_is_disp","lump_dispcat","mucilage","Starch","annual","family","Functional.group","how3d","SCTmm","SCTperL","SCP","SCTperW","SCTperMass","Disp","SA_2D","origin"
"26","LASCAL",-0.855404269189362,-2.90891416684127,-0.3562383085174,-1.37250041954461,1.39845251401082,0.470879886757444,0.695327022795504,-0.672267552898934,0.367418940689358,0.395010233522567,0.0894373054156397,0.974679434480896,-1.63951059669039,0.470237654320988,42.1111111111111,11.166593374377,1.21721132052712,0.684413922222222,0.0898811460014157,-1.90902869353915,13.89008905,1.99320057996534,-1.13837098448867,NA,2.26921623284771,0,3,0,0,"annual","Asteraceae","Forb",0,0.011875,0.0592929050717908,-0.0553490477977027,0.131721719538603,0.247361446416489,2,1.90331943396393,"Native"
"27","LINDIC",1.81395525499093,-0.90286439225196,0.0312554544959135,0.100984681436494,-0.512613606340935,0.539779827521635,0.0442425811241715,0.536635325742325,0.31205651880618,-0.470140066252764,0.0678665228040725,1.18321595661992,-1.45703876564565,0.535685295035904,31.0615048392132,17.2459543672731,0.27470533765457,0.70017023,-0.445986101058937,-2.97528883008141,11.835427,1.09642630113739,-1.58441937247602,0.7694816,2.5918348728539,0,2,0,0,"annual","Polemoniaceae","Forb",0,0.0175,0.1153101449846,-0.408098173387182,0.158094660995448,0.274101222343421,0,1.54241240219633,"Native"
"28","LOLMUL",-3.43346489495975,0.267576126835779,1.40902118810582,0.620956185456913,-0.268650634167606,0.364922784122974,-1.08264456397054,0.820003913092107,-0.425093187253953,0.739528203398376,0.155925482478839,1.54919333848297,0.809284418188988,0.416038961038961,17.1969696969697,24.1925739458779,1.69860791086434,1.41024605882353,1.7393187985898,-1.97339010387793,30.3076164705882,2.43274875573566,1.06366243924159,0.769973841176471,2.68946621591085,0,3,0,1,"annual","Poaceae","Grass",0.473045638929422,0.03,0.0740819842261893,-0.763451001845815,0.145852265727916,0.115565113138075,2,0.693429957145867,"Non-Native"
"29","LOMMAR",-1.89392700895002,1.12914984162808,-1.31794904038446,0.865284141952903,1.55858767297427,-0.506192610461048,-0.670878982940469,-0.187668540469636,0.128835023287,1.06077060906078,-0.621071238059574,2.14476105895272,1.81533763992046,0.446851680542707,35.5164970706136,12.5815245702379,2.22780449775705,5.4241036,3.69118087880336,-3.1961209221591,27.825987,3.1013612581708,0.0929242357021013,0.79837748,2.71316244932824,0,5,0,0,"perennial","Apiaceae","Forb",0,0.0575,0.0787176865925436,0.197062250403681,0.102960332018686,0.0967471905681023,2,-0.589819620632561,"Native"
"30","LOTHUM",0.442255410131294,1.86117315338404,0.00561325470952789,-0.68706449942577,0.319917151356147,0.274059779403272,-0.676007529575637,-0.562436857840078,-0.176315311813967,-0.977917944240349,0.0601765730729517,1.61245154965971,1.12824390379271,0.412008059100067,31.124916051041,13.2372424209731,0.883592152888319,2.0783535,1.33596055364594,-3.37275459263362,11.572741,1.85925698322508,-1.10593791567203,0.80687543,2.70068455563839,0,7,0,0,"annual","Fabaceae","N-fixer",0.394444748538495,0.0325,0.115896970108678,-1.81119325937621,0.125049503550351,0.10255258918885,0,0.523296429579143,"Native"
"31","MEDPOL",0.815066095416432,0.435017198296976,-0.748471416562156,-1.32825316395819,1.18573499655268,-1.07872798924438,0.207762222286091,0.88166529076658,0.478599006219056,-0.12530780738129,0.308450924308253,1.26885775404495,1.17658362175655,0.514376801152738,57.6512968299712,8.92220694826294,1.13490657657705,1.8567804,1.48495723254919,-2.65414607075966,23.687946,1.99162269786751,-2.61600712064137,0.7926178,2.65735583125644,1,4,0,0,"annual","Fabaceae","N-fixer",0.37017929740771,0.020125,0.0804314897333404,-1.14603016871309,0.104108855690905,0.078772759089654,1,0.50666546531832,"Non-Native"
"32","MICDOU",-1.62873914685251,-0.280016413474897,-2.11606017672128,0.312357773603873,-0.486739264718161,0.873158525028684,1.0262357735799,1.00671052244454,-0.374664638939306,0.0530769836003055,-0.0806553500369315,2.68328157299975,0.598612116942107,0.503683473389356,23.3648459383754,21.5573205454818,1.82927398864928,1.00024304285714,1.21328479852946,-1.79332723989442,13.89008905,2.59469452876439,-1.13837098448867,NA,2.4905274117614,1,3,0,0,"annual","Asteraceae","Forb",0,0.09,0.120198612687306,0.0811796085706765,0.299963550215439,0.222399745087205,1,1.38140973023494,"Native"
"33","MIMDOU",0.254674658713444,0.35293990487811,1.61130800197771,1.3936534934716,0.2490369838485,0.443209984856629,1.93420147574426,1.281804560028,0.612104424570709,-1.16860900622136,1.05080237510754,0.836660026534076,1.26415497533427,0.460810606060606,15.8143939393939,29.1386826347305,-0.0208641403018092,0.6115411,-0.825711726445732,-2.82115488882226,17.319935,0.81145461203014,-2.44453292468547,0.809534,2.66707885048752,1,2,0,0,"annual","PHRYMACEAE","Forb",0.326008921198968,0.00875,0.0945223731914511,0.0533250697852611,0.119616530499611,0.0497160094025608,1,1.63716633847587,"Native"
"34","MIMGUT",3.97486075818524,-0.8538949815428,0.682102147337902,-0.664959991384699,-0.160640904286557,0.813721125547987,-0.163272931101536,0.534337051954911,-0.354224361019157,0.326826055672249,-0.267858171909662,1.18321595661992,-3.58045017367417,0.552800949474398,45.0356052899288,12.274753407123,-0.598745249452261,0.38110532,-1.89167874863159,-3.71163513164408,10.8619017,0.273020210748127,-2.40521132798441,0.90179714,2.67060022361542,0,2,0,0,"perennial","PHRYMACEAE","Forb",0,0.0175,0.178457540518692,-1.24214399146524,0.214287342375906,0.792508448920388,0,2.16469895937972,"Native"
"35","NASPUL",-2.62867513676194,0.426235883561121,1.29846697080449,-1.26721949682153,0.791362849825477,-1.31023039296971,-1.11612314702372,0.421580132128324,-0.141492297534898,0.489228165424441,0.321281551733207,0.948683298050514,1.52825677922226,0.406909265790317,31.6575825585123,12.8534535142799,1.84008928936019,1.1211586,1.66270144662389,-1.84705579965726,20.11833,2.55102236400242,-0.30893763314468,0.78258047,2.69248206787938,0,3,0,1,"perennial","Poaceae","Grass",0,0.01125,0.0422674403989448,-1.38930676057088,0.100171167362036,0.0493991547737879,2,0.888320917378536,"Native"
