"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"LOMMAR","LOMMAR","-1.89392700895002","1.12914984162808","-1.31794904038446","0.865284141952903","1.55858767297427","-0.506192610461048","-0.670878982940469","-0.187668540469636","0.128835023287","1.06077060906078","-0.621071238059574"
"LOTHUM","LOTHUM","0.442255410131294","1.86117315338404","0.00561325470952789","-0.68706449942577","0.319917151356147","0.274059779403272","-0.676007529575637","-0.562436857840078","-0.176315311813967","-0.977917944240349","0.0601765730729517"
"MEDPOL","MEDPOL","0.815066095416432","0.435017198296976","-0.748471416562156","-1.32825316395819","1.18573499655268","-1.07872798924438","0.207762222286091","0.88166529076658","0.478599006219056","-0.12530780738129","0.308450924308253"
"MICDOU","MICDOU","-1.62873914685251","-0.280016413474897","-2.11606017672128","0.312357773603873","-0.486739264718161","0.873158525028684","1.0262357735799","1.00671052244454","-0.374664638939306","0.0530769836003055","-0.0806553500369315"
"MIMDOU","MIMDOU","0.254674658713444","0.35293990487811","1.61130800197771","1.3936534934716","0.2490369838485","0.443209984856629","1.93420147574426","1.281804560028","0.612104424570709","-1.16860900622136","1.05080237510754"
"MIMGUT","MIMGUT","3.97486075818524","-0.8538949815428","0.682102147337902","-0.664959991384699","-0.160640904286557","0.813721125547987","-0.163272931101536","0.534337051954911","-0.354224361019157","0.326826055672249","-0.267858171909662"
"NASPUL","NASPUL","-2.62867513676194","0.426235883561121","1.29846697080449","-1.26721949682153","0.791362849825477","-1.31023039296971","-1.11612314702372","0.421580132128324","-0.141492297534898","0.489228165424441","0.321281551733207"
"PETPRO","PETPRO","-1.59700574903963","-0.139598651594413","3.59858805313912","-1.09361519336072","0.399116539182924","0.918924113532389","1.79800897353193","-2.09022061650794","-0.979874675328585","0.590804933199155","0.17474551716246"
"PHLGRA","PHLGRA","-0.209988651573898","-0.304105602157053","0.535708180830703","0.948626151296022","-1.68216681781977","-2.33327354062348","0.364974746659695","-0.23597552414707","0.186712482843964","0.0979643294869839","0.287344334171371"
"PLAERE","PLAERE","0.495496433132333","0.295975819884851","-1.37950211586267","2.08574895355764","-0.740862416540219","-1.5388407503847","1.83980026951952","-0.723843452258985","-0.974179221381342","-0.203470022156443","-0.125439890210548"
