"","Line","habitat","watering","fertilization","WFtreatment","Plot","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM"
"23","2","Lushserp","watered","fertilized","FW","17",0.188666916487481,0.0687340490267356,-0.128969304651595,0.0615369284697788,2.98666145806376,0.24675676009653,0.0956112852664577,-0.330445401533556,0.190177638453501,0.0289698075103952,0.386170925402355,-0.330042689826458,0.0147446174961292,0.139724448947454,-0.00420860612835267,-0.0150100321616134,0.0268159286485823,-0.112762467476927,0.0395143553795867,-0.00816680229339675,-0.00928197613211276,-0.0225913751488112
"24","2","Lushserp","watered","fertilized","FW","22",1.27283162758761,0.659449050695035,-0.624406258470833,0.34204183620407,19.8284534623761,1.38999680809936,0.815642458100559,-1.63148691878948,1.62849162011173,0.860769997091203,2.2087372051189,-2.79245028685169,0.22387376230199,1.14750071590205,0.510402613856885,-0.223450496592638,0.299346806606437,-0.884420933823329,0.667357495852518,-0.344564379963469,0.59999268486782,0.1241413002675
"25","2","Lushserp","watered","fertilized","FW","25",1.41379483283552,0.835087936575609,-0.84238316375301,0.390865488885737,21.8365611457725,1.52111752843563,0.83402489626556,-2.0033084632031,1.7551867219917,0.846229783384033,2.52136484934175,-2.90062099231511,0.382128369317583,1.2390868598691,0.480736194389328,-0.116262191516507,0.366714398965473,-1.00728958924162,0.667961976944098,-0.296338726961185,0.542891562783787,0.155207996299359
"26","2","Lushserp","watered","fertilized","FW","30",0.794253475840372,0.43134024241724,-0.404277558789055,0.209018317210335,11.9897403079626,0.852191261771046,0.482558139534884,-1.01441857348012,0.895348837209302,0.408424020560587,1.34385443858542,-1.60629115701594,0.199818005498127,0.634414553260555,0.258297643832876,-0.196097173997835,0.165738116264581,-0.477935876265109,0.403340907941008,-0.196790883522897,0.29228071019916,0.0542013200462706
"27","2","Lushserp","watered","fertilized","FW","32",1.21473050232287,0.645222691986918,-0.652709930154256,0.33828405371935,19.2914789039351,1.38350468597758,0.765957446808511,-1.60970033417009,1.49240121580547,0.707941073745584,2.17754787518159,-2.62537489771006,0.216477602867257,1.08626539072076,0.40684809885295,-0.230293986250339,0.252841654961613,-0.818896605776157,0.63341657585832,-0.297566019904295,0.433333576005999,0.0888613263381643
"28","2","Lushserp","watered","unfertilized","W","13",1.20628056848658,0.575191632745832,-0.522244057809831,0.387291334323162,20.9161692240147,1.63536722477406,0.777310924369748,-1.88696393593133,1.56302521008403,0.755811819357866,2.45887113775361,-2.81163245978862,-0.0716400870044143,1.1441424706866,0.43152432268541,-0.179592949018578,0.155636181001432,-0.899300984248302,0.428449668693284,-0.123788238047815,0.273796747885372,-0.0121995269000112
"29","2","Lushserp","watered","unfertilized","W","23",1.51791952326377,0.817553253885369,-0.769323816942605,0.410826492616038,23.6264183057528,1.66447875226879,0.957446808510638,-1.98442141920135,1.92340425531915,0.991398742796884,2.65346147490574,-3.2963315469376,0.290682149682447,1.35429664589198,0.582588603387739,-0.243522204275646,0.352030734659327,-1.05023897026462,0.771016704159903,-0.389404360111198,0.672525362486777,0.148665783457444
"30","2","Lushserp","watered","unfertilized","W","27",1.47249136804577,0.751050753770508,-0.729386102307143,0.411173468400674,22.984897852589,1.6268528406079,0.907894736842105,-1.96354437464982,1.86842105263158,0.839329952289998,2.6173041310632,-3.09021415183805,0.231207620626244,1.27255200498915,0.547542696909319,-0.204251501223422,0.291262729546147,-0.973954844731142,0.810386911630733,-0.348271262063235,0.633826410105248,0.125074766064906
"31","2","Lushserp","watered","unfertilized","W","33",1.49477818306065,0.81190979151698,-0.808373528818077,0.408023787207919,23.2877849237716,1.64079261825261,0.936507936507937,-1.99599596377734,1.87698412698413,0.937953552306868,2.62855693269197,-3.2115276851299,0.295918195697686,1.33125472799052,0.517284172933659,-0.233760702568651,0.368944418384072,-1.02590247874473,0.737485003998922,-0.352495227233411,0.632273574848201,0.15101158917798
"32","2","Lushserp","watered","unfertilized","W","36",1.46915809556357,0.521300011838278,-0.593682727139818,0.413146047322842,22.6440085958747,1.57678109782637,0.822660098522167,-1.97225512789027,1.77339901477833,0.600907891777357,2.63270095466095,-2.82253208155225,0.118762975136328,1.19508786735125,0.558890616528718,-0.159597197569746,0.233289709999644,-0.795787889747495,0.730261258718042,-0.442041946273427,0.500941204409389,0.0419691860667577
"33","3","Harshserp","unwatered","fertilized","F","45",0.936681596283729,-0.367317466433078,-0.0679212395784921,0.329583907817105,13.2789422545271,0.980479952772279,0.174311926605505,-1.56298806993004,0.770642201834862,-0.790169065273147,1.96043513573598,-0.543754932105238,-0.344214518526341,0.296795486863416,0.174763989334431,0.179984370831383,-0.247883348044191,0.051474143643283,0.369962823892324,-0.351825129445785,-0.259862371122541,-0.300010314899085
"34","3","Harshserp","unwatered","fertilized","F","49",0.632929269966922,0.506580316500767,-0.326771630464977,0.403022431584871,20.321452740696,2.22348693452297,0.872340425531915,-1.8816305812915,0.872340425531915,1.19471205442502,2.47913501243945,-3.20666023333245,-0.941124446728901,1.18406438844658,-0.0375419381295659,-0.757644893065869,-0.190276188663935,-1.348305506727,-0.430827563401668,0.754967990569389,-0.640253978864741,-0.293386851702937
"35","3","Harshserp","unwatered","fertilized","F","53",1.03885270771883,0.589416499472539,-0.496743098667547,0.364924174690319,19.800746712344,1.55821497203724,0.684729064039409,-1.85975344193531,1.50738916256158,0.766059334398668,2.32041155971467,-2.67081321403902,-0.132246465500797,1.13907645990072,0.414905131424508,-0.0323737353889045,0.191715563310046,-0.862303706371159,0.294775446812023,0.040012910630333,0.166283763224124,-0.0126186438663932
"36","3","Harshserp","unwatered","unfertilized","C","47",0.657365689082925,0.275489949435385,-0.255419467842897,0.332591370717878,15.7890652200466,1.71585936902061,0.67910447761194,-1.5456545661658,0.753731343283582,0.310890267339158,1.95797708777797,-2.31448506181648,-0.851739300382935,0.707502061664189,-0.393786738517658,-0.597237318843549,-0.0980260111952808,-0.487282576223319,-0.345269443558203,0.595898292595589,-0.361938806525664,-0.194163254316118
"37","3","Harshserp","unwatered","unfertilized","C","52",0.74620726166751,0.351780949682034,0.116218580696663,0.271130404322315,12.697241852663,0.746035855342742,0.0347593582887701,-1.80556500263935,1.11497326203209,-0.230187556196146,1.7043646409064,-0.834171130774382,-0.0505238672571041,0.466376882326407,0.664334774378075,0.745415914057345,0.0830797528654111,0.0615079927053102,-0.0647480129846976,0.0894889616265102,-0.038119628925942,-0.00923986712726318
"38","3","Harshserp","watered","fertilized","FW","46",0.853337254254172,0.184137310094057,-0.403125511688269,0.397584806586114,15.5807795296919,2.0696892799097,0.888888888888889,-1.64265137258648,0.916666666666667,0.638090202542532,2.45551094159319,-2.56774958429144,-0.6936458173526,0.842099309540605,-0.394535553043046,-0.55656198713505,-0.756668254495364,-1.36532372088358,-0.132884354782403,0.0831067595767246,-0.189895183292766,-0.37071498217628
"39","3","Harshserp","watered","fertilized","FW","51",0.922192886031999,0.522786778413962,-0.452944045572298,0.302274487072336,16.7305538868718,1.29922850032334,0.633757961783439,-1.49659442760815,1.28025477707006,0.704283822298558,1.92565878558321,-2.33264747037735,-0.0497879303464168,0.970684762859724,0.346024318348482,-0.129307972341875,0.178045397193619,-0.759257409894295,0.323385852223527,-0.0338022237685534,0.240018545516849,0.0228699864130044
"40","3","Harshserp","watered","fertilized","FW","54",1.378394342649,0.51073750316155,-0.70637330778293,0.394600065380152,21.6929460517551,1.48742038799095,0.855305466237942,-1.93538545205373,1.71704180064309,0.764217557696848,2.4943450412047,-2.77954269809051,0.119799671355118,1.24520958621651,0.464209980501595,-0.229514994106159,0.3391764837324,-0.921956793651266,0.677809786350208,-0.322337715514972,0.589332147922553,0.0984985805882563
"41","3","Harshserp","watered","unfertilized","W","48",0.928613557763689,-0.960498434733032,-0.62143557571217,0.293775599593337,19.0587152915694,0.720538906248211,0.962962962962963,-2.6817360068936,1.67901234567901,-1.03652363269999,2.40402765263854,-1.87650707700501,-0.335465698566756,2.77957139646646,-0.940232763725054,0.106667429366328,0.472782485999854,0.986180325412147,-1.55447070863293,-0.621701180911188,0.360534910047658,0.0310732132835005
"42","3","Harshserp","watered","unfertilized","W","50",0.408834034493169,0.252854292730367,-0.293251884550342,0.25302237780206,12.3469550127858,1.36423979589561,0.547368421052632,-1.15614400231336,0.547368421052632,0.641425714115698,1.54193954036516,-1.89870391550487,-0.555732587971951,0.727246861540135,-0.117171110636752,-0.459382753244728,-0.130893688397228,-0.829708788617291,-0.176064882247787,0.425932305305492,-0.360275833153437,-0.1969330460637
"43","3","Lushserp","unwatered","fertilized","F","55",1.11611695513886,0.603919364250881,-0.566999298396017,0.298919811076522,17.2857507243115,1.21510065251152,0.707746478873239,-1.43501191698139,1.41901408450704,0.735642960223371,1.93195412677498,-2.43143297963028,0.221384849933382,0.993532087333007,0.428636594184719,-0.183983084862946,0.262977967849166,-0.76850015603017,0.581626771346084,-0.295545682512125,0.514059263579028,0.113854186101772
"44","3","Lushserp","watered","fertilized","FW","56",1.44152050809137,0.737425636674195,-0.721617840651301,0.391533081001676,22.4884652584048,1.57720519502445,0.910355486862442,-1.87923095451289,1.84080370942813,0.936180160054645,2.52634399905624,-3.12539500986282,0.249864710645176,1.29747103665168,0.559206110950712,-0.22511748878516,0.333365080670432,-0.993643231236503,0.744615154946766,-0.385840206592967,0.648854882430655,0.135577383399768
"45","4","Harshserp","unwatered","fertilized","F","59",0.330613663671678,0.311612677171284,-0.44713835586945,0.254046618609988,13.3945867435375,1.47535054985473,0.600961538461539,-1.15152563434536,0.639423076923077,0.881512754192924,1.56449322845664,-2.23061014992745,-0.617115000109809,0.918727658638826,-0.167698990275757,-0.458517740473751,-0.00318458026160082,-0.979862251222718,-0.176447922005006,0.552677356714511,-0.411184669529753,-0.199931708012362
"46","4","Harshserp","unwatered","fertilized","F","66",0.971945225400113,0.271183730894544,0.479575694778918,0.384995048795562,16.2091683728738,1.51188862839432,0.487179487179487,-1.97822330176001,0.671794871794872,0.224303862965183,2.34467758308451,-1.64604039335667,-0.611288391695586,0.419063981049883,0.558001494716949,-0.398386594821149,-0.540758649637934,-0.573252060541196,-0.444648308225998,0.12630536626357,-0.359858517575881,-0.175036447803943
"47","4","Harshserp","unwatered","unfertilized","C","57",0.827857217487832,0.303560100854331,0.37215207866414,0.262537356127727,11.6569901686106,0.674422275803853,0.0330578512396694,-1.69590230056921,0.87603305785124,-0.386032682926885,1.62089910765845,-0.598990982424395,-0.05119954419469,0.205680113567784,0.728260011003051,0.487678391842406,-0.0710682625893161,0.20701353331931,-0.112731692469099,-0.0196866304437597,-0.028232146845688,-0.0099982799331842
"48","4","Harshserp","unwatered","unfertilized","C","62",0.793922359885297,0.308834405496063,0.342824193910881,0.25635806268711,11.6442122994241,0.676340135138883,0.0428571428571429,-1.64807641549583,0.885714285714286,-0.313770925232777,1.59441301937106,-0.654799273589954,-0.0462321701821159,0.255756156485464,0.737806532753195,0.488878495538086,-0.0601384692821385,0.153444961242858,-0.0869636870378179,-0.0208275668270422,-0.0323711578950822,-0.0131967732154899
"49","4","Harshserp","unwatered","unfertilized","C","64",0.594892043389587,-0.05842016575404,0.26101794925058,0.180543939718987,7.41587216338888,0.47299549547044,0.0272727272727273,-0.996722497862284,0.390909090909091,-0.521363135963291,1.08450254393811,-0.199686082130492,-0.136320365374045,0.0105855357177844,0.328643133791981,0.124163761728732,-0.154401462441809,0.249538187160489,0.00611273630030626,-0.165858576247165,-0.138585691919145,-0.111830352005816
"50","4","Harshserp","unwatered","unfertilized","C","68",0.302681456492435,0.0133645232903114,-0.0334466070568718,0.0943195269837128,4.07420045904051,0.266068484549848,0.036144578313253,-0.53345761673357,0.301204819277108,-0.183616339949517,0.576062819301536,-0.217068033595739,-0.0174178330153107,0.0939175659152882,0.0989340086391921,0.138295134160478,0.0034047178736999,0.0351524293477128,0.0596440178842343,-0.0683229626726933,-0.0225640622007428,-0.0382187172579711
"51","4","Harshserp","watered","fertilized","FW","58",0.715058829791721,-0.342572221521699,-0.145548169682308,0.319915488990219,12.3481281341402,1.0734747064096,0.220183486238532,-1.50632491159225,0.81651376146789,-0.424577374970207,1.83231017532214,-0.860152755486286,-0.740909826438747,0.341644110001595,-0.108204833315604,0.194960113431075,-0.101988942860228,-0.130398774129125,0.0535159631901024,0.0546886154280228,-0.258975961752391,-0.211990227025903
"52","4","Harshserp","watered","fertilized","FW","65",0.482663046756122,-0.294426727549837,-0.0725801988157189,0.212775366452469,8.8416157885119,0.679345347800471,0.123287671232877,-1.00807771433813,0.479452054794521,-0.428689658551795,1.2671072853401,-0.42355747192707,-0.353617819676305,0.322222475858871,0.068693559287897,0.111943741567823,-0.148648914012251,-0.0341270011309096,0.178742339225572,-0.108643381011803,-0.279771904355908,-0.226243772405229
"53","4","Harshserp","watered","unfertilized","W","63",0.961261382048753,0.0719107506916672,-0.00293716215495376,0.389299457251402,17.7928057185391,1.32314251637689,0.246376811594203,-2.15893540232772,1.26086956521739,-0.379342764265213,2.37552955218491,-1.38874618083818,-0.491051719335706,0.672696034150773,0.403058769241928,0.462449644391936,-0.0385613207240636,-0.0295712130642952,0.00641053616722403,0.0967876542763711,-0.274769562250582,-0.20571040300123
"54","4","Harshserp","watered","unfertilized","W","67",1.00521343855638,-0.0878126369488828,-0.0114232916040042,0.397837699445827,17.4031936190897,1.26242029516057,0.228571428571429,-2.14963021799947,1.05714285714286,-0.468463331685358,2.40758694772143,-1.07590667053214,-0.436027803041402,0.58397603535866,0.433377070947746,0.315269935153752,-0.123793661182101,-0.12218349253461,0.103661074899115,-0.0390989132353651,-0.353946973028515,-0.256895622990276
"55","4","Harshserp","watered","unfertilized","W","69",0.549935522819195,0.216187492400358,-0.0690646603441148,0.206552848837911,9.71081647704026,0.870747326821143,0.285714285714286,-1.06997910491373,0.489795918367347,0.0928059856223741,1.26768945182351,-1.06785364048695,-0.191669330114404,0.34111148804696,0.129059790476417,-0.15295256622238,-0.0801889876834685,-0.284585419132435,-0.0613753208758215,0.0962165531964358,-0.177013012888405,-0.106097657985512
"56","4","Lushserp","unwatered","unfertilized","C","60",1.57801407540021,1.01209659992159,-0.727872962124717,0.373252984130333,20.7376924934739,1.55073424680384,0.808823529411765,-1.78124023884251,1.45588235294118,0.225511188941587,2.37723550430849,-2.64917363011143,0.626801034227324,0.783733176831917,0.300223090699306,-0.40931215742661,0.15335424274347,-0.503963605348963,0.838599397184269,-0.413000652161723,0.455494200168008,0.0801919709567178
"57","4","Lushserp","watered","unfertilized","W","61",0.987066081168581,0.776167315876355,-0.486889701839238,0.210052898600041,12.0493783756914,0.936428063506353,0.5,-1.00252976148458,0.791666666666667,0.0663173670068596,1.34883223551298,-1.609953518687,0.543641578744565,0.373510186819415,0.107923666365294,-0.343601991131902,0.0853889339060974,-0.228398102453334,0.529700283169594,-0.24633972740332,0.272266377311165,0.0637293357224088
"58","6b","Harshserp","unwatered","fertilized","F","101",1.21656206395643,0.211710228714893,0.8909689831715,0.332416416750027,12.91096835374,0.818778715768991,0.1875,-1.91653754340018,0.208333333333333,-0.641224760234706,1.95496471075553,-0.221801246236457,-0.0312678997704791,-0.259949910155602,0.964135779713485,-0.482521570972103,-0.548001761737304,0.186447004605672,-0.210346342155943,-0.227043216425356,-0.188513014587962,-0.0910063445667298
"59","6b","Harshserp","unwatered","unfertilized","C","103",2.2110070271212,0.760457441163327,0.119605685863199,0.449414595544751,17.697151456877,1.23011835463573,0.166666666666667,-2.59616105351492,1.08333333333333,-1.76460640681545,2.65328343802651,-0.644624857769271,0.715986908154972,-0.719289567608993,0.351036645385494,0.136580103078339,-0.149955465052391,0.997197480871276,0.338472981262135,-0.621382788864387,0.265346050316628,-0.0412805432379469
"60","6b","Harshserp","watered","fertilized","FW","100",1.37136989738528,0.622034893763114,-0.619418552288697,0.407399228287705,20.9198275462055,1.66989491511541,0.880597014925373,-1.86718854346089,1.74626865671642,0.689100046282314,2.56012011565072,-2.8854545615949,0.0515609361694668,1.11431580445448,0.364337883856053,-0.178129748629487,0.0245062123042089,-0.976203413686763,0.700637951035875,-0.310957305029895,0.574105269119714,0.0391415312587418
"61","6b","Harshserp","watered","fertilized","FW","102",1.12810092502429,0.846169155964736,-0.701516811386797,0.26790114034895,10.6557900921224,1.06362267713447,0.361904761904762,-1.8157706615614,0.40952380952381,-0.644262511467329,1.72065600867581,-0.823321921031817,0.875449413752846,0.0860327962687976,-0.38588556799598,-0.201651927459086,-0.162890107125816,-0.130657545989065,-0.0650821287446205,-0.0604390519018149,-0.116331443698,-0.125538577223088
"62","6b","Lushserp","unwatered","fertilized","F","105B",1.61520232702382,0.930352986233376,-0.796823031541513,0.414804146327658,23.8782376227877,1.70498627866314,0.977611940298508,-1.9836028329952,1.88370646766169,0.832611305418521,2.66743351549121,-3.29698244873579,0.423716437106303,1.24930984605832,0.530825239891731,-0.340953461075721,0.323361200815518,-0.933281047294789,0.862246754044017,-0.418711692229015,0.686029887561627,0.142649643691275
"63","6b","Lushserp","unwatered","fertilized","F","111",1.60282473954821,0.980251376304439,-0.803083333620811,0.399977870941951,22.9047455730035,1.66139383291711,0.936746987951807,-1.92584195449029,1.76506024096386,0.69443852282077,2.57327988299972,-3.14158791622151,0.505693289282941,1.12637699028206,0.450350214714465,-0.36089271514623,0.2911549053423,-0.834139567968349,0.837380842213625,-0.410018336060993,0.631557451145105,0.133413826113262
